League,Club,Player,Position,Date of Birth,Age,Market Value
Premier League,Manchester City,Ederson,Goalkeeper,"Aug 17, 1993",25,60000000.0
Premier League,Manchester City,Claudio Bravo,Goalkeeper,"Apr 13, 1983",35,2500000.0
Premier League,Manchester City,Arijanet Muric,Goalkeeper,"Nov 7, 1998",20,1000000.0
Premier League,Manchester City,John Stones,Centre-Back,"May 28, 1994",24,60000000.0
Premier League,Manchester City,Aymeric Laporte,Centre-Back,"May 27, 1994",24,60000000.0
Premier League,Manchester City,Nicolás Otamendi,Centre-Back,"Feb 12, 1988",31,30000000.0
Premier League,Manchester City,Vincent Kompany,Centre-Back,"Apr 10, 1986",33,10000000.0
Premier League,Manchester City,Eliaquim Mangala,Centre-Back,"Feb 13, 1991",28,10000000.0
Premier League,Manchester City,Philippe Sandler,Centre-Back,"Feb 10, 1997",22,2500000.0
Premier League,Manchester City,Benjamin Mendy,Left-Back,"Jul 17, 1994",24,40000000.0
Premier League,Manchester City,Oleksandr Zinchenko,Left-Back,"Dec 15, 1996",22,15000000.0
Premier League,Manchester City,Kyle Walker,Right-Back,"May 28, 1990",28,50000000.0
Premier League,Manchester City,Danilo,Right-Back,"Jul 15, 1991",27,20000000.0
Premier League,Manchester City,Fernandinho,Defensive Midfield,"May 4, 1985",33,15000000.0
Premier League,Manchester City,Ilkay Gündogan,Central Midfield,"Oct 24, 1990",28,40000000.0
Premier League,Manchester City,Phil Foden,Central Midfield,"May 28, 2000",18,25000000.0
Premier League,Manchester City,Fabian Delph,Central Midfield,"Nov 21, 1989",29,15000000.0
Premier League,Manchester City,Kevin De Bruyne,Attacking Midfield,"Jun 28, 1991",27,150000000.0
Premier League,Manchester City,David Silva,Attacking Midfield,"Jan 8, 1986",33,25000000.0
Premier League,Manchester City,Leroy Sané,Left Winger,"Jan 11, 1996",23,100000000.0
Premier League,Manchester City,Raheem Sterling,Right Winger,"Dec 8, 1994",24,120000000.0
Premier League,Manchester City,Bernardo Silva,Right Winger,"Aug 10, 1994",24,80000000.0
Premier League,Manchester City,Riyad Mahrez,Right Winger,"Feb 21, 1991",28,60000000.0
Premier League,Manchester City,Sergio Agüero,Centre-Forward,"Jun 2, 1988",30,75000000.0
Premier League,Manchester City,Gabriel Jesus,Centre-Forward,"Apr 3, 1997",22,70000000.0
Premier League,Liverpool FC,Alisson,Goalkeeper,"Oct 2, 1992",26,65000000.0
Premier League,Liverpool FC,Simon Mignolet,Goalkeeper,"Mar 6, 1988",31,8000000.0
Premier League,Liverpool FC,Virgil van Dijk,Centre-Back,"Jul 8, 1991",27,75000000.0
Premier League,Liverpool FC,Joe Gomez,Centre-Back,"May 23, 1997",21,35000000.0
Premier League,Liverpool FC,Dejan Lovren,Centre-Back,"Jul 5, 1989",29,20000000.0
Premier League,Liverpool FC,Joel Matip,Centre-Back,"Aug 8, 1991",27,20000000.0
Premier League,Liverpool FC,Andrew Robertson,Left-Back,"Mar 11, 1994",25,50000000.0
Premier League,Liverpool FC,Alberto Moreno,Left-Back,"Jul 5, 1992",26,9000000.0
Premier League,Liverpool FC,Trent Alexander-Arnold,Right-Back,"Oct 7, 1998",20,50000000.0
Premier League,Liverpool FC,Connor Randall,Right-Back,"Oct 21, 1995",23,500000.0
Premier League,Liverpool FC,Fabinho,Defensive Midfield,"Oct 23, 1993",25,45000000.0
Premier League,Liverpool FC,Naby Keïta,Central Midfield,"Feb 10, 1995",24,65000000.0
Premier League,Liverpool FC,Georginio Wijnaldum,Central Midfield,"Nov 11, 1990",28,40000000.0
Premier League,Liverpool FC,Jordan Henderson,Central Midfield,"Jun 17, 1990",28,28000000.0
Premier League,Liverpool FC,James Milner,Central Midfield,"Jan 4, 1986",33,15000000.0
Premier League,Liverpool FC,Alex Oxlade-Chamberlain,Right Midfield,"Aug 15, 1993",25,40000000.0
Premier League,Liverpool FC,Adam Lallana,Attacking Midfield,"May 10, 1988",30,15000000.0
Premier League,Liverpool FC,Sadio Mané,Left Winger,"Apr 10, 1992",27,85000000.0
Premier League,Liverpool FC,Ben Woodburn,Left Winger,"Oct 15, 1999",19,5000000.0
Premier League,Liverpool FC,Mohamed Salah,Right Winger,"Jun 15, 1992",26,150000000.0
Premier League,Liverpool FC,Xherdan Shaqiri,Right Winger,"Oct 10, 1991",27,25000000.0
Premier League,Liverpool FC,Roberto Firmino,Centre-Forward,"Oct 2, 1991",27,80000000.0
Premier League,Liverpool FC,Daniel Sturridge,Centre-Forward,"Sep 1, 1989",29,15000000.0
Premier League,Liverpool FC,Divock Origi,Centre-Forward,"Apr 18, 1995",23,10000000.0
Premier League,Chelsea FC,Kepa,Goalkeeper,"Oct 3, 1994",24,55000000.0
Premier League,Chelsea FC,Willy Caballero,Goalkeeper,"Sep 28, 1981",37,1000000.0
Premier League,Chelsea FC,Jamal Blackman,Goalkeeper,"Oct 27, 1993",25,500000.0
Premier League,Chelsea FC,Robert Green,Goalkeeper,"Jan 18, 1980",39,250000.0
Premier League,Chelsea FC,Antonio Rüdiger,Centre-Back,"Mar 3, 1993",26,45000000.0
Premier League,Chelsea FC,Andreas Christensen,Centre-Back,"Apr 10, 1996",23,35000000.0
Premier League,Chelsea FC,David Luiz,Centre-Back,"Apr 22, 1987",31,25000000.0
Premier League,Chelsea FC,Gary Cahill,Centre-Back,"Dec 19, 1985",33,10000000.0
Premier League,Chelsea FC,Ethan Ampadu,Centre-Back,"Sep 14, 2000",18,10000000.0
Premier League,Chelsea FC,Marcos Alonso,Left-Back,"Dec 28, 1990",28,45000000.0
Premier League,Chelsea FC,Emerson,Left-Back,"Aug 3, 1994",24,18000000.0
Premier League,Chelsea FC,César Azpilicueta,Right-Back,"Aug 28, 1989",29,40000000.0
Premier League,Chelsea FC,Davide Zappacosta,Right-Back,"Jun 11, 1992",26,18000000.0
Premier League,Chelsea FC,Jorginho,Defensive Midfield,"Dec 20, 1991",27,65000000.0
Premier League,Chelsea FC,N'Golo Kanté,Central Midfield,"Mar 29, 1991",28,100000000.0
Premier League,Chelsea FC,Mateo Kovacic,Central Midfield,"May 6, 1994",24,35000000.0
Premier League,Chelsea FC,Ruben Loftus-Cheek,Central Midfield,"Jan 23, 1996",23,25000000.0
Premier League,Chelsea FC,Danny Drinkwater,Central Midfield,"Mar 5, 1990",29,10000000.0
Premier League,Chelsea FC,Marco van Ginkel,Central Midfield,"Dec 1, 1992",26,10000000.0
Premier League,Chelsea FC,Ross Barkley,Attacking Midfield,"Dec 5, 1993",25,28000000.0
Premier League,Chelsea FC,Eden Hazard,Left Winger,"Jan 7, 1991",28,150000000.0
Premier League,Chelsea FC,Callum Hudson-Odoi,Left Winger,"Nov 7, 2000",18,25000000.0
Premier League,Chelsea FC,Willian,Right Winger,"Aug 9, 1988",30,50000000.0
Premier League,Chelsea FC,Pedro,Right Winger,"Jul 28, 1987",31,25000000.0
Premier League,Chelsea FC,Gonzalo Higuaín,Centre-Forward,"Dec 10, 1987",31,45000000.0
Premier League,Chelsea FC,Olivier Giroud,Centre-Forward,"Sep 30, 1986",32,15000000.0
Premier League,Tottenham Hotspur,Hugo Lloris,Goalkeeper,"Dec 26, 1986",32,30000000.0
Premier League,Tottenham Hotspur,Michel Vorm,Goalkeeper,"Oct 20, 1983",35,2000000.0
